id,title,story_ref,story_type,need,type,severity,inclusion_risk,evidence,notes,candidate_fix
1,Filter resets on reload,stories.md#S1,Job story,Reduce cognitive load,Usability,Medium,"Cognitive,Memory",Participant A Q1,Current doesn't persist filter state,false
2,No confirmation after submit,stories.md#S2,Job story,Trust & feedback,Accessibility,High,"Cognitive,SR",Participant A Q2; Participant B Q1,HTMX good but no-JS no feedback,true
3,Delete button not keyboard-accessible,stories.md#S3,Job story,Full keyboard access,Accessibility,High,"Keyboard,Motor",Participant A Q4,Focus order unclear,true
4,Low text contrast,stories.md#S4,Job story,Visibility,Accessibility,Medium,"Low vision",Participant A Q5; Participant B Q5,Pico.css gray fails AA,false
5,No progress indicator,stories.md#S2,Job story,Motivation,Usability,Low,Cognitive,Participant A Q2; Participant C Q2,Nice-to-have,false
6,Error messages not persistent,stories.md#S5,Job story,Error recovery,Accessibility,High,"Cognitive,SR",Participant B Q2,PRG loses error context,true
7,Skip link not SR tested,Internal audit,WCAG check,Bypass blocks,Accessibility,Medium,SR,WCAG 2.4.1,Tested keyboard not SR,false
8,Live region polite for errors,Internal audit,WCAG check,Error announcement,Accessibility,High,SR,WCAG 4.1.3,Errors need aria-live=assertive,false
9,Button color contrast 1.11:1 (fails WCAG 1.4.3 AA),wk07/audit/axe-report.md#contrast,WCAG violation,Visibility,Accessibility,High,"Low vision,Color-blind,All users","axe: 7 instances; manual: 1.11:1 ratio","All buttons (#6c757d on #0172ad) fail 4.5:1 requirement",true
10,Image missing alternative text (WCAG 1.1.1 A),wk07/audit/axe-report.md#alt-text,WCAG violation,Screen reader access,Accessibility,Critical,"Screen reader,Low vision","axe: missing alt on icon.png","<img> without alt attribute; screen readers announce file name",true,FIXED 2025-11-11: added alt=\"Task icon\""
11,Link has no discernible text (WCAG 2.4.4 A),wk07/audit/axe-report.md#empty-link,WCAG violation,Navigation,Accessibility,High,"Screen reader,Keyboard","axe: empty <a href=\"/about\"></a>","Link text empty; screen readers can't announce purpose",false
12,Focus indicator visibility needs improvement (WCAG 2.4.7 AA),wk07/audit/manual-wcag-checklist.md#2.4.7,WCAG violation,Keyboard navigation,Accessibility,Medium,Keyboard,"Manual test: thin blue outline","Focus outline visible but low contrast; could be thicker",false
13,Missing ARIA live region for status messages (WCAG 4.1.3 AA),wk07/audit/manual-wcag-checklist.md#4.1.3,WCAG violation,System status,Accessibility,High,"Screen reader,All users","Manual test: no role=\"status\" found","Status messages (add/edit/delete) not announced to screen readers",true
14,Missing landmark roles for navigation,wk07/audit/manual-wcag-checklist.md#2.4.1,Best practice violation,Navigation,Accessibility,Low,"Screen reader,Keyboard","Manual test: missing <nav>, <aside>","Page has <main> but lacks other semantic landmarks",false
15,Status messages not displayed after form submissions,wk07/audit/manual-wcag-checklist.md#4.1.3,Usability violation,System feedback,Usability,Medium,"All users,Screen reader","Manual test: no feedback after actions","Users don't get confirmation of successful add/edit/delete",false